ID,Text,Valence,Arousal,Dominance,Category
"Euh ja da valt nog af te wachten, tis te zien, ma ça va. Tzal in ieder geval beter zijn als hier. En wa gade gij doen?",OV,0.665182847175,0.443029857642,0.411138138836,neutral
Wa zijde gij aant doen met awen arm jong?,BG,0.471210633628,0.590842034459,0.372490543829,joy
Bij mij doet da zeer ze maat.,BZL,0.262855299092,0.480106082906,0.503142694638,anger
"Net terug thuis van euh van een avondje op stap me ne maat en ik heb… Ja Annelies die ligt al te slapen en ik heb voor morgenvroeg als ze wakker wordt een kleine verrassing voorzien. Als ze naar de badkamer gaat, dan ga ze allemaal witte rozen krijgen.",BG,0.670696674272,0.42612019596,0.701058549471,joy
Ik kom terug in de maatschappij en ik moe daar mijne draai terugvinden.,OV,0.334271878114,0.416088567097,0.187949148004,fear
"Ah gij. Wa een ramp zijt gij. Allemaal hetzelfde. - Goed Mohamed. - <b> Ik heb u nog eh, madammeke. </b>",OV,0.356178589667,0.475070844659,0.511283662773,anger
"Aleja die… Ja da lijkt mij verschrikkelijk om zo euh… machteloos da kind op de wereld te zetten en te denken van ocharme, ik kan u nie veel geven ma kga u alles geven wa dak heb. Euh… ja das verschrikkelijk.",BZL,0.142172347707,0.620558536657,0.277558156713,sadness
"Mannen! Shrimp from Sri Lanka. No good eh. Warm in de zon. Dood. Zo rot als maar zijn kan eh. Echt waar. Fret da nie op thuis, denkt es goe na. En wij hebben daar gisteren van zitten smullen eh.",BZL,0.245206370775,0.902687696372,0.773380071507,anger
"Het vonnis euh… al goed gelezen? - <b> Ja ja, ik heb hem da voorgelezen. </b>",OV,0.552056841027,0.43178697288,0.765703853478,neutral
"Nee, da is keisip.",BG,0.296718148418,0.306990317919,0.448679995922,sadness
Na verloop van tijd. Kmoe zeggen dak da heel graag hoor da je zegt: na verloop van tijd.,OV,0.748034663352,0.371004263466,0.695837898363,joy
Ja ezo een rosse met krulletjes da zou leuk zijn. Een rosse vonk ja. - Ja inderdaad. Das wel uw type. - <b> Goh man. Das gigantisch mijn type. </b>,BG,0.835369200291,0.597382078315,0.724822593714,love
Dank u. Ah mijn schatje.,OV,0.856438759322,0.488026611459,0.535676633724,love
"Mohow, tis nie meer met ups en downs?",OV,0.466805672969,0.601114868235,0.367643526286,joy
